ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001934582-22-000002	101	Providence Equity Partners IX L.P.	/s/ Sarah N. Conde	Sarah N. Conde	GC and Chief Compliance Officer of GP of GP of issuer	2022-08-01
0001809352-22-000004	101	FirstChoice Capital, Inc.	K Webster Hanchey	K Webster Hanchey	President	2022-08-01
0001940585-22-000001	101	137 HOLDINGS SXVIII, LLC	/S/ JUSTIN FISHNER-WOLFSON	JUSTIN FISHNER-WOLFSON	MGR OF THE MANAGING MEMBER OF SR MG MEMBER OF THE ISSUER	2022-08-01
0001940484-22-000002	101	BGA Horizon Fund, LLC - Clear Sky Series	Daniel Burns	Daniel Burns	CFO of the Manager of the Issuer	2022-08-01
0001697317-22-000003	101	Wellington Hawkes Bay ASP Fund, a series of the Alternative Strategies Platform, LLC	MICHAEL KORN	MICHAEL KORN	SENIOR VP OF THE SOLE MEMBER OF THE MANAGING MEMBER	2022-07-25
0001939258-22-000001	101	Seabound Carbon, Inc.	/s/ Alisha Fredriksson	Alisha Fredriksson	Chief Executive Officer	2022-08-01
0001829126-22-014948	101	Clinical & Herbal Innovations, Inc.	/s/ Daphne Mathews	Daphne Mathews	Director	2022-07-14
0001940484-22-000001	101	BGA Horizon Fund, LLC - Baker Brothers 202207 Series	Daniel Burns	Daniel Burns	CFO of the Manager of the Issuer	2022-08-01
0001809352-22-000003	101	FirstChoice Capital, Inc.	K Webster Hanchey	KARLOS WEBSTER HANCHEY	President	2022-08-01
0001904286-22-000001	101	Mira1a Therapeutics, Inc.	James A. McNulty, CPA	James A. McNulty, CPA	Chief Financial Officer	2022-08-01
0001937652-22-000001	101	CrushBank Technology, Inc.	Brian Mullaney	Brian Mullaney	Chief Financial Officer/Chief Operating Offier	2022-08-01
0001939733-22-000001	101	TECUM DRY HOLDINGS, LLC	/s/ Stephen J. Gurgovits, Jr.	Stephen J. Gurgovits, Jr.	President of the Manager	2022-08-01
0001940603-22-000001	101	Clean30 LLC	Carolyn Yashari Becher	Carolyn Yashari Becher	Manager	2022-08-01
0000919574-22-004452	101	Coatue Ventures III LP	/s/ Philippe Laffont	Philippe Laffont	Authorized Person of the General Partner	2022-08-01
0001940654-22-000001	101	White Wolf Private Credit Partners LLC	/s/ Elie P. Azar	Elie P. Azar	President	2022-08-01
0001938593-22-000001	101	Verified-Mobile, Inc.	/s/ Joseph M. Ruzevich	Joseph M. Ruzevich	Chief Executive Officer	2022-08-01
0001940545-22-000001	101	Trident Digital Fund, L.P.	/s/ Todd Taylor	Todd Taylor	Manager of the General Partner of the Issuer	2022-08-01
0001940596-22-000001	101	Northwind Debt Fund II Feeder B LLC	Ran Eliasaf	Ran Eliasaf	Authorized Signatory	2022-08-01
0001940188-22-000001	101	Passco Velo DST	Larry K. Sullivan	Larry K. Sullivan	President of the Sole Member of the Issuer's Manager	2022-07-20
0001940384-22-000002	101	COASTAL REAL ESTATE FUND VII, LLC	Gregory Meerbaum	GREBORY MEERBAUM	CHIEF EXECUTIVE OFFICER	2022-08-01
0001940248-22-000001	101	EVERLY NORTHPARK, LLC	Matthew Mellos	Matthew Mellos	Manager of INDEV, LLC, Manager	2022-08-01
0001936275-22-000003	101	TAYGO Inc.	/s/ Sepideh Ghasem Khan Ghajar	Sepideh Ghasem Khan Ghajar	Chief Executive Officer	2022-07-27
0001940556-22-000001	101	iQUANTUM INC.	/s/ Leena Menon	Leena Menon	Vice President of Operations	2022-08-01
0001720741-22-000001	101	Bloom Credit, Inc	Christian Widhalm	Christian Widhalm	CEO	2022-08-01
0001794159-22-000085	101	Gatewood Capital Opportunity Fund II, L.P.	/s/ Andrew Coren	Andrew Coren	Authorized Signatory of the Managing Member of the GP	2022-08-01
0001209191-22-043642	101	Filtration Group Corp	/s/ Timothy J. McCarty	Timothy J. McCarty	PRESIDENT AND CHIEF EXECUTIVE OFFICER	2022-08-01
0001826003-22-000002	101	Pavr Solutions, LLC	Jessica Bledsoe	Jessica Bledsoe	CEO	2022-08-01
0001939660-22-000001	101	NClude Fintech Innovation Fund LP	/s/ Basil Moftah	Basil Moftah	Director of the General Partner of the Issuer	2022-08-01
0001940041-22-000001	101	Reset Investment Management Macro Opportunity Fund	Tim Alford	Tim Alford	Managing member of Reset Investment Management LLC fund mana	2022-08-01
0001940039-22-000002	101	Moderne Ventures Core Fund III-A, L.P.	/s/ Constance Freedman	Constance Freedman	Sole Member of the General Partner	2022-08-01
0001841356-22-000193	101	Linqto Liquidshares LLC	David Paul	David Paul	Chief Financial Officer	2022-08-01
0001940039-22-000001	101	Moderne Ventures Core Fund III, L.P.	/s/ Constance Freedman	Constance Freedman	Sole Member of the General Partner	2022-08-01
0001940626-22-000001	101	Paulson Ngena Investments I, LLC	Malcolm Winks	Malcolm Winks	President/CFO of the Managing Member	2022-08-01
0001939882-22-000002	101	REVERE MASTER SPV LLC - SERIES VII - A (BYJUS)	/s/ Kyle Wool	Kyle Wool	Managing Member of the Manager	2022-08-01
0001940350-22-000001	101	MONROE RE INVESTORS LLC	Chris Hutter	Chris Hutter	Manager of Manager of Manager of Issuer	2022-08-01
0001923265-22-000002	101	TO Fund I, a series of Earthbound Ventures, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001567619-22-014694	101	Ergotron Investments, LLC	/s/ Max Klupchak	Max Klupchak	Secretary	2022-07-29
0001940314-22-000001	101	Bank of Burlington	/s/ Victoria Bronner	Victoria Bronner	Secretary	2022-07-29
0001938581-22-000002	101	Kore Offshore Fund Ltd.	J Gary Kosinski	J Gary Kosinski	Principal of the Investment Manager	2022-08-01
0001938635-22-000002	101	Kore Onshore Fund L.P.	J Gary Kosinski	J Gary Kosinski	Principal of the Investment Manager	2022-08-01
0001939658-22-000001	101	RMSS, L.P.	/S/ NATHAN RICHEY	NATHAN RICHEY	MANAGER OF THE GP OF THE GP OF THE ISSUER	2022-08-01
0001939385-22-000003	101	NIVRITI SOLUTIONS GLOBAL INC	Andrew Kussmaul	Andrew Kussmaul	Attorney for Company	2022-08-01
0001940130-22-000001	101	Darby Square Group LLC	David Saperstein	David Saperstein	Managing Member	2022-08-01
0001940612-22-000002	101	S22, a series of Chris Golda Investments, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001567619-22-014690	101	Perini Capital Structured Credit Opportunity Fund, LLC	Michael Perini	/s/Michael Perini	President & CEO, Perini Capital Partners, LLC	2022-08-01
0001936622-22-000001	101	RENEWABLE IPP, LLC	/s/ Jennifer Miller	Jennifer Miller	Manager	2022-08-01
0001940549-22-000001	101	Hunters Glen APTS, LLC	Tariq Sattar	Tariq Sattar	Manager of Manager	2022-08-01
0001938386-22-000002	101	Viola Growth IV Access LP	Richard Ruffer	Richard Ruffer	Manager of the Issuer's General Partner	2022-08-01
0001940622-22-000002	101	ARR Fund I, a series of AX-RN-Funds, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001940625-22-000002	101	IN Fund I, a series of Frontures Syndicates, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001940617-22-000002	101	SK Fund V, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001940624-22-000002	101	FO27 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001940609-22-000002	101	Fund I, a series of WSV Growth, LP	Paddy Cosgrave	Paddy Cosgrave	Managing Director	2022-08-01
0001940623-22-000002	101	PE28 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001939698-22-000002	101	TRIMER CAPITAL PARTNERS I LP	/S/ MICHAEL CHOU	MICHAEL CHOU	MANAGING MEMBER OF THE UGP OF THE GP OF THE ISSUER	2022-08-01
0001939698-22-000002	102	TRIMER CAPITAL PARTNERS I SELECT LP	/S/ MICHAEL CHOU	MICHAEL CHOU	MANAGING MEMBER OF THE UGP OF THE GP OF THE ISSUER	2022-08-01
0001939698-22-000001	101	ARIA GROWTH PARTNERS FUND I-B LP	/S/ TREVOR NELSON	TREVOR NELSON	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2022-08-01
0001940620-22-000002	101	JU19 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001940618-22-000002	101	PA Fund I, a series of C&S Family Capital SPVs, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001940619-22-000002	101	CO107 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001940621-22-000002	101	CO87 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001940611-22-000002	101	HY Fund I, a series of Hemisphere Ventures, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001860332-22-000002	101	MT Nutrition II Cayman, LP	/s/ Ross Iverson	Ross Iverson	Manager of the General Partner	2022-08-01
0000935836-22-000454	101	Bohr Arbitrage Crypto Fund, L.P.	/s/ Ragnar Lovatelli Janer	Ragnar Lovatelli Janer	Investment Manager of KPTL Arbitrage Management, LLC, GP	2022-08-01
0001940616-22-000002	101	YO Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person Of The Manager Of The Issuer's GP	2022-08-01
0001940614-22-000002	101	IN47 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001940610-22-000002	101	NO Fund I, a series of Matt Bilotti AL Funds, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001860354-22-000001	101	MT Nutrition II, LP	/s/ Ross Iverson	Ross Iverson	Manager of the General Partner	2022-08-01
0001683168-22-005228	101	Castlerock Storage #10, LLC	/s/ Michael S. Castleman, Jr.	Michael S. Castleman, Jr.	President	2022-07-26
0001940608-22-000002	101	TO Fund II, a series of Decode Fund, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001935614-22-000003	101	I4031 CAPITAL GROWTH FUND, L.P.	Paul Kitzrow	Paul Kitzrow	Manager	2022-08-01
0001620271-22-000002	101	SG Holdings, LLC	Andrew Brownstein	Andrew Brownstein	Counsel	2022-08-01
0001938449-22-000002	101	Covet Health Inc	Nathan Luong	Nathan Luong	CFO & Treasurer	2022-08-01
0000935836-22-000453	101	Logos Global Offshore Fund Ltd.	Arsani H. William	Arsani H. William	Director	2022-08-01
0001315863-22-000536	101	Sutherland Impact Fund, LP	/s/ Ryan M. Small	Ryan M. Small	Member of Inverdale Capital Management, LLC	2022-08-01
0001940582-22-000001	101	Mesa Club Venture, LLC	James R. Hopper	James R. Hopper	Pres. of AMC the manager of the manager of Company	2022-08-01
0001939841-22-000001	101	People First Capital LLC	Hereford Johnson III	Hereford Johnson III	Manager (director)	2022-08-01
0000935836-22-000452	101	Chartwell Family ETF Fund, L.P.	Fred A. Fern	Fred A. Fern	Manager of Chartwell Family Office, LLC, General Partner	2022-08-01
0001839933-22-000005	101	NexMetro Dividend Fund, LP	/s/ Josh E. Hartmann	Josh E. Hartmann	CEO of Manager of GP of Issuer	2022-08-01
0001940533-22-000001	101	Quest Portal, Inc.	Gunnar Holmsteinn Gudmundsson	Gunnar Holmsteinn Gudmundsson	Chief Executive Officer	2022-07-26
0001940295-22-000002	101	Meridiam Infrastructure North America Fund II (Domestic Feeder), LP	/s/ Jane Garvey	Jane Garvey	Manager of the Issuer's General Partner	2022-08-01
0001209191-22-043608	101	Hark Capital IV, LP	/s/ Arthur Man	Arthur Man	Authorized Signatory of the GP of the Issuer	2022-07-29
0001209191-22-043607	101	Hark Capital IV, LP	/s/ Arthur Man	Arthur Man	Authorized Signatory of the GP of the Issuer	2022-07-29
0001935614-22-000002	101	I4031 CAPITAL GROWTH FUND, L.P.	Paul Kitzrow	Paul Kitzrow	Manager	2022-08-01
0001938449-22-000001	101	Covet Health Inc	Nathan Luong	Nathan Luong	CFO & Treasurer	2022-08-01
0001939957-22-000001	101	Guild Capital - Salon LLC	Iain Shovlin	Iain Shovlin	Manager	2022-08-01
0001940295-22-000001	101	Meridiam Infrastructure North America Fund II (Feeder), LP	/s/ Jane Garvey	Jane Garvey	Manager of the Issuer's General Partner	2022-08-01
0001924759-22-000001	101	MVP LS FUND CCCLXXVIII LLC	/s/WILLIAM CLARK	WILLIAM MICHAEL CLARK	PRESIDENT OF THE MANAGER	2022-08-01
0001939969-22-000003	101	Costa Azul Cabo, LLC	Carolyn Gonzales	Carolyn Gonzales	Attorney in Fact	2022-08-01
0001854157-22-000001	101	Spur Ventures VII, L.P.	/s/ Joan C Heidorn	Joan C Heidorn	Managing Director of the Manager of the General Partner	2022-08-01
0001939509-22-000001	101	Dividenz SPV 4, LLC	Ezequiel Chomer	Ezequiel Chomer	Manager-Member of Manager of Issuer	2022-08-01
0001937855-22-000002	101	Shopoff OC Development Fund, LLC	William Shopoff	William Shopoff	CEO	2022-08-01
0001938581-22-000001	101	Kore Offshore Fund Ltd.	J Gary Kosinski	J Gary Kosinski	Principal of the Investment Manager	2022-08-01
0001938635-22-000001	101	Kore Onshore Fund L.P.	J Gary Kosinski	J Gary Kosinski	Principal of the Investment Manager	2022-08-01
0001864611-22-000052	101	Smith Encore LLC	Randall Smith	Randall Smith	Member of the Manager of the Issuer	2022-07-27
0001939604-22-000001	101	GH Hoffman Bastrop LLC	Trevor S Dallas	Trevor S Dallas	Managing Member	2022-08-01
0001940433-22-000001	101	CG FCSF II Delaware LP	/s/ Rebecca Palmer	Rebecca Palmer	Manager of General Partner of Issuer	2022-07-29
0001488336-22-000002	101	FastCAP Systems Corp	/Matt Fenselau/	Matt Fenselau	Secretary	2022-08-01
0001880686-22-000002	101	Casa Del Sol Spirits Co.	/s/ Steph Sebbag	Steph Sebbag	CEO	2022-08-01
0000897069-22-000479	101	Fund Street Technologies LLC	/s/ John Lie-Nielsen	John Lie-Nielsen	Chief Executive Officer	2022-08-01
0001930808-22-000007	101	JLLX Diversified II, DST	/s/ Gregory A. Falk	Gregory A. Falk	Senior Vice President of the Signatory Trustee	2022-08-01
0001940571-22-000001	101	Volta Investments, SLP	/s/ Paul Brogan	Paul Brogan	Manager of the Issuer's General Partner	2022-08-01
0001690014-22-000002	101	Medici Technologies, LLC	Clinton Phillips	Clinton Phillips	Chief Executive Officer	2022-08-01
0001938880-22-000001	101	Exline Industrial Fund III, LP	/s/ Ty Smith	Ty Smith	Manager of Issuer's General Partner	2022-07-26
0000897069-22-000478	101	York Real Estate Fund I, L.P.	/s/ Philip Swisher	Philip Swisher	Manager of the General Partner of the Issuer	2022-08-01
0001940194-22-000001	101	UNDECIM LLC	Michael R. Gregorarz	Michael R. Gregorarz	Manager of Pontifex LLC	2022-07-15
0001938919-22-000001	101	Smash Dragon LLC	Adrienne Dean	Adrienne Dean	Authorized Representative	2022-08-01
0001875837-22-000001	101	Third Lake RE SFR Fund I, LP	Robert Forsythe	Robert Forsythe	Managing Partner of the Investment Manager of the Issuer	2022-08-01
0001567619-22-014683	101	Paragon Flavors, Inc.	/S/ CHRISTOPHER GREGSON	CHRISTOPHER GREGSON	CHIEF EXECUTIVE OFFICER	2022-07-29
0001939859-22-000001	101	Imagen Santa Monica Bay Dental Support Services, LLC	/s/ Rezwan Manji	Rezwan Manji	Chief Executive Officer	2022-08-01
0001014108-22-000128	101	KO Storage Fund II, LLC	Andrew Freeman	Andrew Freeman	VP of Manager of Issuer	2022-08-01
0001936018-22-000001	101	Fidus Fund III LLC	Dustin Lauer	Dustin Lauer	Manager	2022-08-01
0001940388-22-000001	101	Harbor Systems, Inc.	/s/ Kunal Agarwal	Kunal Agarwal	Chief Executive Officer	2022-08-01
0001925366-22-000001	101	EquityBee 04 2022 79013, a Series of EquityBee Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001014108-22-000127	101	KO Storage Fund II, LLC	Andrew Freeman	Andrew Freeman	VP of Manager of Issuer	2022-08-01
0001925371-22-000001	101	EquityBee 04 2022 69459, a Series of EquityBee Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001315863-22-000535	101	Baymount Offshore Fund I Ltd	/s/ Christopher Stella	Christopher Stella	COO of Investment Advisor	2022-08-01
0001315863-22-000534	101	Baymount Onshore Fund I LP	/s/ Christopher Stella	Christopher Stella	COO of Investment Advisor	2022-08-01
0001937187-22-000001	101	EquityBee 06 2022 63521, a Series of EquityBee Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001938611-22-000001	101	EquityBee 07 2022 27594, a series of EquityBee Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001940158-22-000002	101	CA-FL-NY MULTIFAMILY SELECT, LP	Thomas Richard Litton, Jr.	Thomas Richard Litton, Jr.	Manager of CA-FL-NY Multifamily Holdings GP, LLC	2022-08-01
0001939839-22-000001	101	Ascend Lake Restoration Equity SPV, LP	/s/ Todd Benson	Todd Benson	Manager of General Partner of Issuer	2022-07-30
0001837733-22-000001	101	Onex Capital Solutions (Luxembourg) Feeder, SCSp	/s/ Steven Gutman	Steven Gutman	Manager of the GP	2022-08-01
0001940264-22-000001	101	Lightrock Climate Impact Fund SCSp	/s/ Christian Hertz	Christian Hertz	Manager of the Managing General Partner of the Issuer	2022-08-01
0001722769-22-000001	101	Wooly, Inc.	Kyle Fraughton	Kyle Fraughton	Chief Executive Officer	2022-08-01
0001937576-22-000001	101	Market Place Townhomes, LLC	Brandon A. Foldes	Brandon A. Foldes	Manager	2022-08-01
0001837743-22-000001	101	Onex Capital Solutions, LP	/s/ Steven Gutman	Steven Gutman	General Counsel	2022-08-01
0001940497-22-000002	101	GO25 Fund I, a series of Roll Up Vehicles, LP	Cathy Bui	Cathy Bui	Authorized Person of the Manager of the Issuer's GP	2022-08-01
0001939994-22-000001	101	Resonant Absolute Return Offshore Fund, Ltd.	/s/ Eric Patterson	Eric Patterson	Manager of Issuer's Investment Manager	2022-08-01
0001933405-22-000002	101	Altera Battle Fund, LLC	Julie Newman	Julie Newman	Director of Operations	2022-08-01
0001880728-22-000001	101	EquityBee 08 2021 13694, a Series of EquityBee Master, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001901074-22-000009	101	Radix Equity LLC	Thomas J. O'Brien	Thomas J. O'Brien	Manager	2022-08-01
0001763206-22-000001	101	Open Forest Value Fund, LP	Kai Lam	Kai Lam	Manager	2022-07-29
0001936054-22-000001	101	Knack IV, a Series of Miami Angels Master 2022, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2022-08-01
0001939614-22-000001	101	IngredientWerks, Inc.	/s/ Matthew Plavan	Matthew Plavan	President	2022-08-01
0001940158-22-000001	101	CA-FL-NY MULTIFAMILY HOLDINGS, LP	Thomas Richard Litton, Jr.	Thomas Richard Litton, Jr.	Manager of CA-FL-NY Multifamily Holdings GP, LLC	2022-08-01
0001939036-22-000001	101	Miami Angels III, a Series of Assure Labs 2022, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001936462-22-000001	101	EquityBee 06 2022 42887, a Series of EquityBee Master LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-08-01
0001833913-22-000001	101	Market Wagon, Inc.	/s/ Nicholas Carter	Nicholas Carter	CEO	2022-08-01
0001938891-22-000003	101	OT MBC Fund I, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2022-07-29
0001937885-22-000001	101	RCVR SPV 4 - 2022, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2022-07-29
0001919214-22-000001	101	Clean Lumens II, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2022-07-28
0001342255-22-000002	101	CE EQUITY VERY SMALL CAP US LONG LP	/s/ James F. Connor	James F. Connor	Managing Member of the Issuer's General Partner	2022-08-01
0001928653-22-000001	101	STP STAKE SPV, a Series of STP PRIVATE EQUITY, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2022-07-28
0001930936-22-000001	101	STP VII SPV, a Series of STP PRIVATE EQUITY, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Administrative Manager	2022-07-27
0001939962-22-000002	101	THUNDER ROAD SURGICAL, LLC	/s/ Gregory DeConciliis	Gregory DeConciliis	Vice President of Applicant	2022-08-01
